apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
BACIGALUPE,ALBERTO,BELAUSTE. EL CABALLERO DE LA FURIA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,—,12-BAC-BEL,MUELLE DE URIBITARTE,True,General
BACIGALUPE,CARLOS,ARTURO CASTILLA QUE SOÑABA CIRCOS,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,—,12-BAC-ART,MUELLE DE URIBITARTE,True,General
BAER,ROBERT,SOLDADO DE LA CIA,ENSAYO,HISTORIA,●,—,12-BAE-SOL,CRÍTICA,True,General
BALDACCI,DAVID,BUENA SUERTE,NOVELA,NEGRA,,L-A2,08-BAL-BUE,EDICIONES B,True,General
BALDACCI,DAVID,EL OBJETIVO,NOVELA,NEGRA,,—,22-BAL-OBJ,PENGUIN,True,General
BALDACCI,DAVID,EN EL ULTIMO MINUTO,NOVELA,NEGRA,,L-A2,08-BAL-ULT,EDICIONES B,True,General
BALDACCI,DAVID,JUSTICIA DIVINA,NOVELA,NEGRA,,L-B1,08-BAL-JUS,EDICIONES B,True,General
BALDACCI,DAVID,LA ESQUINA DEL INFIERNO,NOVELA,NEGRA,,L-A1,08-BAL-ESQ,EDICIONES B,True,General
BALDACCI,DAVID,LOS INOCENTES,NOVELA,NEGRA,,L-B1,08-BAL-INO,EDICIONES B,True,General
BALDACCI,DAVID,UNA FRACCIÓN DE SEGUNDO,NOVELA,NEGRA,,L-B1,08-BAL-FRA,EDICIONES B,True,General
BALSERA,ANTONIO,A PALO SECO,POESÍA,—,,—,09-BAL-PAL,RIQUELME Y VARGAS,True,General
BAMM,PETER,LA BANDERA INVISIBLE,NOVELA,BÉLICA,,L-A2,02-BAM-BAN,PALABRA,True,General
BÁNFFY,MIKLÓS,EL REINO DIVIDIDO,NOVELA,HISTÓRICA,,L-B1,12-BÁN-REI,LIBROS DEL ASTEROIDE,True,General
BÁNFFY,MIKLÓS,LAS ALMAS JUZGADAS,NOVELA,HISTÓRICA,,L-B1,12-BÁN-ALM,LIBROS DEL ASTEROIDE,True,General
BANNALEC,JEAN-LUC,EL MISTERIO DE PONT-AVEN,NOVELA,NEGRA,,L-A2,08-BAN-MIS,GRIJALBO,True,General
BANNALEC,JEAN-LUC,MUERTE EN LAS ISLAS,NOVELA,NEGRA,●,L-A1,08-BAN-MUE,GRIJALBO,True,General
BANNALEC,JEAN-LUC,UN CADÁVER EN PORT DU BÉLON,NOVELA,NEGRA,,L-A2,08-BAN-CAD,GRIJALBO,True,General
BANNALEC,JEAN-LUC,UN CRIMEN BRETÓN,NOVELA,NEGRA,,L-A2,08-BAN-CRI,GRIJALBO,True,General
BAQUEDANO,LUCÍA,CINCO PANES DE CEBADA,NOVELA,AVENTURAS,●,L-A1,01-BAQ-CIN,SM,True,General
BARBE-GALL,FRANÇOISE,CÓMO MIRAR UN CUADRO,ENSAYO,ARTE,,—,15-BAR-COM,LUNWERG,True,General
BARICCO,ALESSANDRO,OCÉANO MAR,NOVELA,DRAMA,,L-B1,12-BAR-OCE,ANAGRAMA,True,General
BARKER,A. J.,MIDWAY. MOMENTO CRÍTICO,ENSAYO,HISTORIA,,—,16-BAR-MID,SAN MARTÍN,True,General
BAROJA,PÍO,LA BUSCA,NOVELA,DRAMA,●,L-A1,04-BAR-BUS,CARO REGGIO,True,General
BAROJA,PÍO,ZALACAÍN EL AVENTURERO,NOVELA,AVENTURAS,,L-A1,12-BAR-ZAL,AUSTRAL,True,General
BARR McCUTCHEON,GEORGE,LOS MILLONES DE BREWSTER,NOVELA,AVENTURAS,●,L-A2,01-BAR-MIL,ALBA,True,General
BARREAU,NICOLAS,PARIS ES SIEMPRE UNA BUENA IDEA,NOVELA,DRAMA,,—,22-BAR-PAR,ESPASA,True,General
BASHEVIS SINGER,ISAAC,KROCHMALNA Nº10,RELATO(S),—,,L-B1,10-BAS-KRO,EDICIONES SM,True,General
BASSETT,RICHARD,EL ENIGMA DEL ALMIRANTE CANARIS,ENSAYO,HISTORIA,,—,12-BAS-ENI,CRÍTICA,True,General
BECQUER,GUSTAVO ADOLFO,"POÉTICA, NARRATIVA Y PAPELES PERSONALES",POESÍA,—,,L-A2,09-BEC-POE,ALIANZA,True,General
BEEVOR,ANTONY,BERLÍN. LA CAIDA: 1945,ENSAYO,HISTORIA,●,P-B1,12-BEE-VER,CRÍTICA,True,General
BENAVENTE,JACINTO,LOS INTERESES CREADOS,TEATRO,—,●,L-A2,11-BEN-INT,SALVAT,True,General
BENAVENTE,JACINTO,LOS INTERESES CREADOS,TEATRO,—,●,L-A2,11-BEN-INT,AUSTRAL,True,General
BENAVENTE,JACINTO,SEÑORA AMA,TEATRO,—,,L-B1,11-BEN-INT,AUSTRAL,True,General
BENET,JUAN,HERRUMBROSAS LANZAS,,BÉLICA,●,L-A2,12-BEN-HER,ALFAGUARA,True,General
BENNETT,ALAN,UNA LECTORA NADA COMÚN,NOVELA,DRAMA,●,L-A1,12-BEN-UNA,ANAGRAMA,True,General
BENSON,ROBERT HUGH,EL AMO DEL MUNDO,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-A2,12-BEN-AMO,GALAXIA GUTTENBERG,True,General
BENYELLÚN,ABDELMAYID,DE LA NIÑEZ,NOVELA,DRAMA,,L-A2,04-BEN-DEL,EDIC. OYM,True,General
